Name,State,District,Mandal,Address,Latitude,Longitude,Geocoded_Address,Confidence,Geocoding_Source
7 STAR SUPER SPECIALITY HOSPITAL,ANDHRA PRADESH,KAKINADA,Kakinada - U,"20-1-61, main road",,,,0,failed
A ONE HOSPITAL A UNIT OF AKHILA MEMORIAL HOSPITAL,ANDHRA PRADESH,SRIKAKULAM,Srikakulam - U,"SY. NO.598, DOOR NO 2-2-46, NEAR RAMA TEMPLE, BONDILIPURAM MAIN ROAD, SRIKAKULAM",,,,0,failed
A S A HOSPITALS,ANDHRA PRADESH,DR.B.R.AMBEDKAR KONASEEMA,Amalapuram - U,"D.No 6-1-12/1, VEVEKANDA ROAD AMALAPURAM",,,,0,failed
AAKASH HOSPITALS,ANDHRA PRADESH,KURNOOL,Kurnool - U,"AAKASH HOSPITALS, SY.NO.755/B2, PLOT NO 83, D.NO.50/760-B-5, GAYATRI ESTATE, KURNOOL",,,,0,failed
AAROGYA MULTI SPECIALITY HOSPITAL,ANDHRA PRADESH,ELURU,Koyyalagudem - R,7-111JRG ROADMAIN ROAD534312,,,,0,failed
AASHA HOSPITAL,ANDHRA PRADESH,ANANTHAPURAMU,Anantapur - U,7201 Court Road AnantapurNear Tower Clock515001,,,,0,failed
AASHA HOSPITAL,ANDHRA PRADESH,ANANTHAPURAMU,Tadipatri - U,"2/133 , YELLANURU ROAD TADIPATRI",,,,0,failed
AASHRAYA MULTI SPECIALITY HOSPITAL,ANDHRA PRADESH,CHITTOOR,Chittoor - U,1-6533REDDY COLONYOPP KANNAN KALYANA MANDAPAM517001,,,,0,failed
AAYUSHMAN HOSPITAL,ANDHRA PRADESH,KURNOOL,Kurnool - U,45142A1 Venkata Ramana Colony518003,,,,0,failed
ABC HOSPITALS,ANDHRA PRADESH,VISHAKAPATANAM,GVMC - VISAKHAPATNAM -U,16-1-13MAIN ROADMAHARANIPETA530002,,,,0,failed
ABHAYA EMERGENCY CENTRE SREE HOSPITALS,ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY - U,79-1-41 JAWAHARLAL NEHRU ROAD NEAR RAMALAYAM,,,,0,failed
ABHAYA KIDNEY CARE MULITYSPECIALITY HOSPITAL,ANDHRA PRADESH,ANANTHAPURAMU,Anantapur - U,10-470 Adimurthy nagarAnantapurOpposite Guildoff Service School515001,,,,0,failed
ABHAYA MULTI SPECIALTY HOSPITALS,ANDHRA PRADESH,PALNADU,Piduguralla - R,7-409 MAIN ROAD PIDUGURALLA PALNADU DIST,,,,0,failed
ABHAYA MULTISPECIALITY HOSPITAL,ANDHRA PRADESH,KURNOOL,Kurnool - U,8th linenr peta518003,,,,0,failed
ABHAYA MULTISPECIALITY HOSPITAL,ANDHRA PRADESH,NTR,Vijayawada - U,33-18-2 calasani venakat krishnaiah street,,,,0,failed
ABHILASH NETRA VYDYA SALA,ANDHRA PRADESH,YSR KADAPA,Proddatur - U,"3/1350, Gandhi Road",,,,0,failed
ABHINAV NURSING HOME,ANDHRA PRADESH,VIZIANAGARAM,Srungavarapukota - R,OPP SAIBABA TEMPLESkota Vizianagaram535145,,,,0,failed
ABHIRAM INSTITUTE OF MEDICAL SCIENCES,ANDHRA PRADESH,SRI POTTISRIRAMULU NELLORE,Kavali - R,OPPOSITE APSRTC BUS STAND ATMAKUR524322,,,,0,failed
ADARSHA MEDICAL CENTRE PVT LTD,ANDHRA PRADESH,PRAKASAM,Ongole - R,SUNDARAIAH BAVAN ROAD523001,,,,0,failed
ADITYA MULTI SPECIALITY HOSPITAL,ANDHRA PRADESH,ANANTHAPURAMU,Anantapur - U,18 210 BEHIND ICICI BANK OLD TOWN UMA NAGAR,,,,0,failed
ADITYA MULTISPECIALITY HOSPITAL,ANDHRA PRADESH,GUNTUR,Guntur - U,13-4-64Gunturvarithota 3rd Line522001,,,,0,failed
AGRASENI HOSPITAL,ANDHRA PRADESH,KURNOOL,Kurnool - U,"#46 1 BK ST 504 SAPTHAGIRI NAGAR , KURNOOL",,,,0,failed
AHALYA HOSPITAL,ANDHRA PRADESH,GUNTUR,Guntur - U,42714Behind Sivalayam Kothapet Guntur522001,,,,0,failed
AHALYA NURSING HOME,ANDHRA PRADESH,GUNTUR,Guntur - U,12-10-163Behind Sivalayam Kothapet Guntur522001,,,,0,failed
AIMS FOR CHILD HEALTH,ANDHRA PRADESH,NTR,Vijayawada - U,"29-23-31/1, Tadepallivari steet, suryarao pet, Vijayawada",,,,0,failed
AKASAM HOSPITALS,ANDHRA PRADESH,DR.B.R.AMBEDKAR KONASEEMA,Amalapuram - U,6-4-4MAHIPALA STREETVENKATESWARA TEMPLE533201,,,,0,failed
AKIRA EYE HOSPITAL,ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY - U,12-20-18ARYAPURAMARYAPURAM MIDDLE STREET533104,,,,0,failed
AKSHAYA HOSPITAL MEDIGENE MULTI SPECIALITY HOSPITAL PVT LTD,ANDHRA PRADESH,VISHAKAPATANAM,GVMC - VISAKHAPATNAM -U,"43-9-201, railway new colony, visakhapatnam",,,,0,failed
AKSHAYA HOSPITALS,ANDHRA PRADESH,ANAKAPALLI,Narsipatnam - R,"pedaboddepalle JUCTION, CHODAVRAM ROAD, NARSIPATNAM",,,,0,failed
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,ANDHRA PRADESH,GUNTUR,MANGALGIRI - R,AIIMS MG Campus MangalagiriNear T B Sanitorium522503,,,,0,failed
ALLURI SITARAMA RAJU ACADEMY OF MEDICAL SCIENCES ASRAM HOSPITAL,ANDHRA PRADESH,ELURU,Eluru - R,"Malkapuram, Eluru WEST GODAVARI DIST",,,,0,failed
AMAR ORTHOPAEDIC HOSPITAL,ANDHRA PRADESH,GUNTUR,Guntur - U,13-2-12Gunturu Vari Thota Kothapet522001,,,,0,failed
AMARA HOSPITAL A UNIT OF G II HEALTHCARE PRIVATE LIMITED,ANDHRA PRADESH,TIRUPATI,Renigunta - R,7-3-166,,,,0,failed
AMARAVATHI EYE HOSPITAL,ANDHRA PRADESH,NTR,Vijayawada - U,29-14-45Prakasam Road Suryaraopeta,,,,0,failed
AMARAVATHI HOSPITALS,ANDHRA PRADESH,ANNAMAYYA,Rayachoty - U,379SN COLONYSTATE BANK516269,,,,0,failed
AMARAVATHI HOSPITALS,ANDHRA PRADESH,TIRUPATI,GUDURNLR - U,14267Church Street Gudur524101,,,,0,failed
AMARAVATHI INSTITUTE OF MEDICAL SCIENCES PVT LTD,ANDHRA PRADESH,GUNTUR,Guntur - U,27132Old Club Road M Narasareddy Plaza Guntur522001,,,,0,failed
AMEELIO HOSPITAL A UNIT OF SURAKSHITHA HEALTHCARE PVT LTD,ANDHRA PRADESH,KURNOOL,Kallur - R,5115-A-H-1 Besides Hanuman Kata Bellary Road Kurnool518003,,,,0,failed
AMEEN MULTI SPECIALITY HOSPITAL,ANDHRA PRADESH,YSR KADAPA,KADAPA - U,21632PP STREET OPP MUNICIPAL OFFICE KADAPA516001,,,,0,failed
AMEER NURSING HOME,ANDHRA PRADESH,SRI SATHAYA SAI,Kadiri - U,1617-8 9WATER TANK ROAD Kadiri515591,,,,0,failed
AMERICAN LASER EYE HOSPITAL,ANDHRA PRADESH,TIRUPATI,Tirupati - U,"Plot no.30, 32, Jayasankar Nagar, AIR Bypass Road, Tirupati",,,,0,failed
AMERICAN ONCOLOGY INSTITUTE A UNIT OF CANCER TREATMENT SERVICES HYDERABAD PVT LTD,ANDHRA PRADESH,KRISHNA,Penamaluru - R,8-1021Nagarjuna Hospital Compound Kanuru520007,,,,0,failed
AMERICAN ONCOLOGY INSTITUTE A UNIT OF CTSI,ANDHRA PRADESH,GUNTUR,MANGALGIRI - R,Nri Hospital And Campus Chinnakakani Mangalagiri522503,,,,0,failed
AMERICAN ONCOLOGY INSTITUTE UNIT OF CTSH PVT LTD,ANDHRA PRADESH,GUNTUR,Pedakakani - R,4-748NH 16 Near Main Road Pedakakani522509,,,,0,failed
AMITA HOSPITAL,ANDHRA PRADESH,KURNOOL,Kurnool - U,"N.R.PETA, KURNOOL",,,,0,failed
AMMA CHILDRENS HOSPITAL,ANDHRA PRADESH,PRAKASAM,Ongole - R,"AMMA CHILDRENS HOSPITAL, LAMBADI DONKA, KURNOOL ROAD, ONGOLE",,,,0,failed
AMMA HOSPITAL,ANDHRA PRADESH,KURNOOL,Kallur - R,87654-1Arevenue colonynandikotkur road518002,,,,0,failed
AMMA MULTI SPECIALITY EYE HOSPITAL,ANDHRA PRADESH,BAPATLA,Chirala - U,near masid center,,,,0,failed
AMMAJI PAVANI MEMORIAL SUPER SPECIALITY HOSPITAL,ANDHRA PRADESH,GUNTUR,Guntur - U,GUNTURIVARITHOTA 1ST LINE BESIDE GAUDIYAMATAM TEMPLE,,,,0,failed
AMRUTHA HEALTH CARE HOSPITAL,ANDHRA PRADESH,KRISHNA,Penamaluru - R,15-14931PRABHUNAGAR 1ST LINEPORANKI521137,,,,0,failed
