Name of Hospital,District,State,Latitude,Longitude,Matched Address
7 STAR SUPER SPECIALITY HOSPITAL,KAKINADA,ANDHRA PRADESH,,,
A ONE HOSPITAL A UNIT OF AKHILA MEMORIAL HOSPITAL,SRIKAKULAM,ANDHRA PRADESH,,,
A S A HOSPITALS,DR.B.R.AMBEDKAR KONASEEMA,ANDHRA PRADESH,,,
AAKASH HOSPITALS,KURNOOL,ANDHRA PRADESH,,,
AAROGYA MULTI SPECIALITY HOSPITAL,ELURU,ANDHRA PRADESH,,,
AASHA HOSPITAL,ANANTHAPURAMU,ANDHRA PRADESH,,,
AASHA HOSPITAL,ANANTHAPURAMU,ANDHRA PRADESH,,,
AASHRAYA MULTI SPECIALITY HOSPITAL,CHITTOOR,ANDHRA PRADESH,13.226816,79.108667,"Aashraya Multi Speciality Hospital, Lawyers' Colony, Lakshmi Srinivas Nagar, Thota palem, Kattamanchi, Chittoor, Andhra Pradesh, 517001, India"
AAYUSHMAN HOSPITAL,KURNOOL,ANDHRA PRADESH,15.8371368,78.0261536,"Aayushman The Family Hospital, Venkatramana Colony Road, Ramalingeswara Nagar, Bangar Pet, Kurnool, Andhra Pradesh, 518003, India"
ABC HOSPITALS,VISHAKAPATANAM,ANDHRA PRADESH,,,
ABHAYA EMERGENCY CENTRE SREE HOSPITALS,EAST GODAVARI,ANDHRA PRADESH,,,
ABHAYA KIDNEY CARE MULITYSPECIALITY HOSPITAL,ANANTHAPURAMU,ANDHRA PRADESH,,,
ABHAYA MULTI SPECIALTY HOSPITALS,PALNADU,ANDHRA PRADESH,,,
ABHAYA MULTISPECIALITY HOSPITAL,KURNOOL,ANDHRA PRADESH,,,
ABHAYA MULTISPECIALITY HOSPITAL,NTR,ANDHRA PRADESH,,,
ABHILASH NETRA VYDYA SALA,YSR KADAPA,ANDHRA PRADESH,,,
ABHINAV NURSING HOME,VIZIANAGARAM,ANDHRA PRADESH,,,
ABHIRAM INSTITUTE OF MEDICAL SCIENCES,SRI POTTISRIRAMULU NELLORE,ANDHRA PRADESH,,,
ADARSHA MEDICAL CENTRE PVT LTD,PRAKASAM,ANDHRA PRADESH,,,
ADITYA MULTI SPECIALITY HOSPITAL,ANANTHAPURAMU,ANDHRA PRADESH,,,
ADITYA MULTISPECIALITY HOSPITAL,GUNTUR,ANDHRA PRADESH,16.2971562,80.4534522,"Aditya Multispeciality Hospital, Guntuvari Thota Main Road, Kothapeta, Lalapet, Guntur, Andhra Pradesh, 522001, India"
AGRASENI HOSPITAL,KURNOOL,ANDHRA PRADESH,15.814784,78.042042,"Agraseni Hospital, Johrapuram Road, Lakshmi Nagar Colony, Lakshmi Nagar, Kurnool, Andhra Pradesh, 518002, India"
AHALYA HOSPITAL,GUNTUR,ANDHRA PRADESH,16.3002726,80.4494148,"Ahalya Nursing Home, MDR047, Kothapeta, Mallikarjunpet, Guntur, Andhra Pradesh, 522001, India"
AHALYA NURSING HOME,GUNTUR,ANDHRA PRADESH,16.3002726,80.4494148,"Ahalya Nursing Home, MDR047, Kothapeta, Mallikarjunpet, Guntur, Andhra Pradesh, 522001, India"
AIMS FOR CHILD HEALTH,NTR,ANDHRA PRADESH,,,
AKASAM HOSPITALS,DR.B.R.AMBEDKAR KONASEEMA,ANDHRA PRADESH,,,
AKIRA EYE HOSPITAL,EAST GODAVARI,ANDHRA PRADESH,17.0131416,81.7716415,"Akira Eye Hospital, SH172, Aryapuram, Rajamahendravaram, Rajahmundry (Urban), East Godavari, Andhra Pradesh, 533104, India"
AKSHAYA HOSPITAL MEDIGENE MULTI SPECIALITY HOSPITAL PVT LTD,VISHAKAPATANAM,ANDHRA PRADESH,,,
AKSHAYA HOSPITALS,ANAKAPALLI,ANDHRA PRADESH,17.6613348,82.6275161,"Akshaya Hospitals, Bheemunipatnam - Narsipatnam Road, Velamkayalapalem, Bogapuram, Visakhapatnam (Urban), Anakapalli, Andhra Pradesh, 531116, India"
ALL INDIA INSTITUTE OF MEDICAL SCIENCES,GUNTUR,ANDHRA PRADESH,16.4462454,80.5801318,"All India Institute of Medical Sciences, Mangalagiri, AIIIMS Instititute Road, Mangalagiri, Guntur, Andhra Pradesh, 522500, India"
ALLURI SITARAMA RAJU ACADEMY OF MEDICAL SCIENCES ASRAM HOSPITAL,ELURU,ANDHRA PRADESH,,,
AMAR ORTHOPAEDIC HOSPITAL,GUNTUR,ANDHRA PRADESH,,,
AMARA HOSPITAL A UNIT OF G II HEALTHCARE PRIVATE LIMITED,TIRUPATI,ANDHRA PRADESH,,,
AMARAVATHI EYE HOSPITAL,NTR,ANDHRA PRADESH,,,
AMARAVATHI HOSPITALS,ANNAMAYYA,ANDHRA PRADESH,,,
AMARAVATHI HOSPITALS,TIRUPATI,ANDHRA PRADESH,,,
AMARAVATHI INSTITUTE OF MEDICAL SCIENCES PVT LTD,GUNTUR,ANDHRA PRADESH,,,
AMEELIO HOSPITAL A UNIT OF SURAKSHITHA HEALTHCARE PVT LTD,KURNOOL,ANDHRA PRADESH,,,
AMEEN MULTI SPECIALITY HOSPITAL,YSR KADAPA,ANDHRA PRADESH,14.477282,78.825895,"Ameen Multi Speciality Hospital, MDR0380, Ganagapeta, Kadapa, YSR Kadapa, Andhra Pradesh, 516001, India"
AMEER NURSING HOME,SRI SATHAYA SAI,ANDHRA PRADESH,,,
AMERICAN LASER EYE HOSPITAL,TIRUPATI,ANDHRA PRADESH,,,
AMERICAN ONCOLOGY INSTITUTE A UNIT OF CANCER TREATMENT SERVICES HYDERABAD PVT LTD,KRISHNA,ANDHRA PRADESH,,,
AMERICAN ONCOLOGY INSTITUTE A UNIT OF CTSI,GUNTUR,ANDHRA PRADESH,,,
AMERICAN ONCOLOGY INSTITUTE UNIT OF CTSH PVT LTD,GUNTUR,ANDHRA PRADESH,,,
AMITA HOSPITAL,KURNOOL,ANDHRA PRADESH,,,
AMMA CHILDRENS HOSPITAL,PRAKASAM,ANDHRA PRADESH,,,
AMMA HOSPITAL,KURNOOL,ANDHRA PRADESH,15.801079,78.04705,"Amma Hospital - Kurnool, Amma Hospital Road, Arora Nagar, Ram Nagar, B Camp, Kallur, Kurnool, Andhra Pradesh, 518002, India"
AMMA MULTI SPECIALITY EYE HOSPITAL,BAPATLA,ANDHRA PRADESH,,,
AMMAJI PAVANI MEMORIAL SUPER SPECIALITY HOSPITAL,GUNTUR,ANDHRA PRADESH,,,
AMRUTHA HEALTH CARE HOSPITAL,KRISHNA,ANDHRA PRADESH,,,
